title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,status_human_1,claude_decision,claude_exclusion_criterion,claude_justification,gemini_decision,gemini_exclusion_criterion,gemini_justification,score,status_human_2,status_final
Distributed Estimation of Power System Oscillation Modes Under Attacks on GPS Clocks,"Wang, Yongqiang and Hespanha, João P.",IEEE Transactions on Instrumentation and Measurement,2018,IEEE Digital Library,1626-1637,67,"Phasor measurement units (PMUs) are playing an increasingly important role in wide-area monitoring and the control of power systems. PMUs allow synchronous real-time measurements of voltage, phase angle, and frequency from multiple remote locations in the grid, enabled by their ability to align to global positioning system (GPS) clocks. Given that this ability is vulnerable to GPS spoofing attacks, which have been confirmed easy to launch, in this paper, we propose a distributed real-time wide-area oscillation estimation approach that is robust to GPS spoofing on PMUs and their associated phasor data concentrators. The approach employs the idea of checking update consistency with histories and across distributed nodes and can tolerate up to one third of compromised nodes. It can be implemented in a completely decentralized architecture and in a completely asynchronous way. The effectiveness of the approach is confirmed by numerical simulations of the IEEE 68-bus power system models.",,10.1109/TIM.2018.2801018,,,,Global Positioning System;Phasor measurement units;Oscillators;Estimation;Power systems;Computer architecture;Mathematical model;Cyber attacks;distributed optimization;global position system (GPS) spoofing;synchrophasors;wide-area monitoring,,1557-9662,,,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
Mining and checking web services behavior,"Wan, Xiaomin and Mao, Xiaoguang and Dai, Ziying",,2012,IEEE Digital Library,1004-1009,,"As an emerging paradigm for architecting, service-oriented computing plays a more and more important role in information technology. To ensure that web services are working according with the expectation, the research in service behavior about interactions between services is crucial to guarantee no deviation from specification. To detect these deviations, we propose a method to mine and check web service behavior. The method attempts to apply process mining to interactions between services in order to narrow the gap between service consumers and providers. By observing executions of services, we present three levels of abstraction on service behavior: internal behavior, external behavior and workflow behavior. Then we outline the approach to extract behavioral model that provides specification to the activity of service checking. Finally the framework of service behavior checking is presented.",,10.1109/INDIN.2012.6301239,,,,Data mining;Customer services;Simple object access protocol;Automata;Computational modeling;web service mining;conformance checking;web services;behavioral model,,2378-363X,,,,Unclassified,REJECTED,EC1,Study does not address Architectural Conformance Checking as a central topic.,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.,2,,
Runtime Monitoring of Web Service Conversations,"Simmonds, Jocelyn and Gan, Yuan and Chechik, Marsha and Nejati, Shiva and O'Farrell, Bill and Litani, Elena and Waterhouse, Julie",IEEE Transactions on Services Computing,2009,IEEE Digital Library,223-244,2,"For a system of distributed processes, correctness can be ensured by (statically) checking whether their composition satisfies properties of interest. However, Web services are distributed processes that dynamically discover properties of other Web services. Since the overall system may not be available statically and since each business process is supposed to be relatively simple, we propose to use runtime monitoring of conversations between partners as a means of checking behavioral correctness of the entire Web service system. Specifically, we identify a subset of UML 2.0 Sequence Diagrams as a property specification language and show that it is sufficiently expressive for capturing safety and liveness properties. By transforming these diagrams to automata, we enable conformance checking of finite execution traces against the specification. We show how our language can be used to specify the Specification Property System (SPS) [1]. We describe an implementation of our approach as part of an industrial system. Finally, we discuss our experience of specifying and monitoring a number of properties from three existing applications.",,10.1109/TSC.2009.16,,,,Monitoring;Web services;Automata;Runtime;Unified modeling language;Data mining;Probability density function;Nondeterministic finite automata;runtime monitoring;sequence diagrams;temporal logic patterns;Web service conversations.,,1939-1374,,,,Unclassified,REJECTED,EC1,Study does not address Architectural Conformance Checking as a central topic.,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.,2,,
Formalizing exception handling in WS-CDL and WS-BPEL for conformance verification,"Yeung, W. L.",,2009,IEEE Digital Library,1-8,,"We have previously developed a formal approach to verifying conformance for Web services choreography based on the formalism of Communicating Sequential Processes (CSP). In this paper, we extend the approach to cover exception handling, which is commonly used in specifying the choreography as well as orchestration of Web services. In particular, we show how timeout exceptions and message events are handled in the formal approach and illustrate it using a document ordering and delivery process as an example.",,10.1109/SOCA.2009.5410265,,,,Web services;Automata;Service oriented architecture;Information systems;Software libraries;Petri nets;Algebra;Document handling;Parallel programming;Unified modeling language;WS-CDL;WS-BPEL;exception handling;conformance,,2163-2871,,,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
Conformance Checking and QoS Optimizing of Web Service Composition,"Zhang, Guojun",,2013,IEEE Digital Library,784-787,,"Due to the inherent autonomy and heterogeneity of component Web services it is difficult to predict the behavior of the overall composite service. Besides, the performance of the composed application is determined by the performance of the involved component web services. Therefore, the behavior conformance and non-functional quality of service (QoS) properties are crucial for selecting the web services to take part in the composition. The behavior conformance of component services is the guarantee of the correctness of Web service composition, and QoS properties can identify the best candidate web services from a set of functionally-equivalent services. In this paper, two formal judgmental rules are presented, which check conformance of local behavior of every component service to global interaction. We also use skyline computation to select services for composition effectively and efficiently, reducing the number of candidate services to be considered. We also define aggregation functions, and use a Multiple Attribute Decision Making approach for the utility function to achieve Qos-based optimal service selection. We evaluate our approach experimentally using both real and synthetically generated datasets.",,10.1109/CIS.2013.171,,,,Quality of service;Business;Semantics;Educational institutions;Service-oriented architecture;Grammar,,,,,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
Model-Driven Evolution of Software Architectures,"Graaf, Bas",,2007,ACM Digital Library,357–360,,"This paper gives an overview of a Ph.D.-project that investigates approaches to support the evolution of software architectures. Particularly, we focus on the use of model-driven techniques in the context of software product-lines. We recognise four tasks related to software evolution: evaluation, conformance checking, migration, and documentation. We propose model-driven solutions for these tasks. By their application in industrial case studies we investigate the extent to which the evolution tasks can be automated, the impact of the use of software product lines, and the possibilities and difficulties to integrate these solutions in industrial practice.",,10.1109/CSMR.2007.35,https://doi.org/10.1109/CSMR.2007.35,,,,IEEE Computer Society,,,,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
Automated procedure clustering for reverse engineering PL/SQL programs,"Altιnι\c{s}ιk, Metin and S\""{o}zer, Hasan",,2016,ACM Digital Library,1440–1445,,"PL/SQL programs are mainly composed of procedures that interact with a database. These procedures are grouped into packages at the architecture design level for increasing modularity and maintainability. However, the intended modular structure is subject to architectural drift especially for large scale programs that are maintained for a long duration. Existing reverse engineering and refactoring techniques cannot be directly applied for these programs. Unlike other programs, PL/SQL programs involve procedures that are in most cases indirectly coupled due to their database operations. In this paper, we provide an approach and a tool that support reverse engineering and refactoring of PL/SQL programs. We analyze dependencies among PL/SQL procedures based on the accessed database elements. We represent these dependencies in the form of a design structure matrix. Then, we cluster the procedures and propose a packaging structure to the designer. We performed an industrial case study from the telecommunications domain. We observed promising results in which several unexisted packages were proposed by our tool and the accuracy of the results were approved by domain experts.",,10.1145/2851613.2851781,https://doi.org/10.1145/2851613.2851781,,,"PL/SQL programs, industrial case study, module clustering, refactoring, reverse engineering",Association for Computing Machinery,,,,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
Type-Safe Dynamic Placement with First-Class Placed Values,"Zakhour, George and Weisenburger, Pascal and Salvaneschi, Guido",Proc. ACM Program. Lang.,2023,ACM Digital Library,,7,"Several distributed programming language solutions have been proposed to reason about the placement of data, computations, and peers interaction. Such solutions include, among the others, multitier programming, choreographic programming and various approaches based on behavioral types. These methods statically ensure safety properties thanks to a complete knowledge about placement of data and computation at compile time. In distributed systems, however, dynamic placement of computation and data is crucial to enable performance optimizations, e.g., driven by data locality or in presence of a number of other constraints such as security and compliance regarding data storage location. Unfortunately, in existing programming languages, dynamic placement conflicts with static reasoning about distributed programs: the flexibility required by dynamic placement hinders statically tracking the location of data and computation.   In this paper we present Dyno, a programming language that enables static reasoning about dynamic placement. Dyno features a type system where values are explicitly placed, but in contrast to existing approaches, placed values are also first class, ensuring that they can be passed around and referred to from other locations. Building on top of this mechanism, we provide a novel interpretation of dynamic placement as unions of placement types. We formalize type soundness, placement correctness (as part of type soundness) and architecture conformance. In case studies and benchmarks, our evaluation shows that Dyno enables static reasoning about programs even in presence of dynamic placement, ensuring type safety and placement correctness of programs at negligible performance cost. We reimplement an Android app with ∼ 7 K LOC in Dyno, find a bug in the existing implementation, and show that the app's approach is representative of a common way to implement dynamic placement found in over 100 apps in a large open-source app store.",,10.1145/3622873,https://doi.org/10.1145/3622873,,,"Distributed Programming, Dynamic Placement, Multitier Programming, Placement Types, Scala, Union Types",Association for Computing Machinery,,,,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
Secure multicast for power grid communications,"Zhang, Jianqing",,2010,ACM Digital Library,,,"Secure multicast for power grid systems faces a number of challenges like complex and error-prone group configuration, inefficient group key management, real-time challenges to existing security protocols and the balance among correctness, efficiency, feasibility and cost. We propose an application-aware approach to setting up secure multicast for power grid communications that automatically derives group memberships and verifies configuration conformance from data dependencies in system specifications. We present an analytic publish-subscribe model, which formally depicts the relationships between data objects, publishers, subscribers and group controllers in a secure multicast system. Based on the model, we study anomalies in multicast functionality configurations like redundant and unauthorized publications, source-anomaly and data-dissatisfaction subscriptions. Algorithms are developed to detect the anomalies and verify the configuration conformance. A practical architecture is designed for automatic and error-resistant group configuration. It transforms the application layer system specifications to the network layer group security associations, policies and credentials. We also demonstrate the feasibility of raising link layer control messages to the network layer and protecting timing critical multicast traffic using one of the off-the-shelf network layer security protocols, namely IPsec. We provide experimental evidence that native IPsec multicast is capable of addressing latency constraints in medium scale networks.To evaluate the approach, we present a case study of IEC 61850 power substation networks and have developed a demo system, SecureSCL. The case study shows the benefits a real-world application gains from the automatically-generated group security configurations and demonstrates the practicality and efficiency of the approach.This work provides a cross-layer approach of automatically self-generated group configuration for power grid communications, addressing key concerns of both system implementation and conformance analysis. The proposed multicast model and verification mechanism can be extended for generic secure communication configurations. On the other hand, the prototype system SecureSCL has a potential of being developed into a realistic application for power substations.",,,,,,,University of Illinois at Urbana-Champaign,,,AAI3455904,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
Model-Driven Software Architecture Conformance Analysis,"Uzun, Burak and M., Ak\c{s}it, and M., Chaudron, and H., Vangheluwe, and J, Pennings,",,2021,ACM Digital Library,,,"Every software system has an architecture that defines the gross-level structure of the system and consists of architectural components, relations and their interactions. A common practice to model software architectures is based on the notion of so-called architecture viewpoints, which define the templates and guidelines for the architecture from the perspective of one or more stakeholder concerns. Based on architecture viewpoints, architecture views can be derived for a particular system. Usually, the architecture of a system consists of multiple architecture views. Since software systems constantly evolve, the software code can start to diverge from the documented software architecture. Architecture conformance analysis methods have been proposed that compare and check the differences between the code and the software architecture. Elements in the code might conform to the elements in the architecture, elements might be absent, or the code might diverge from the architecture and introduce new elements. Conformance analysis is performed on two levels which are code and architecture levels. Codelevel conformance analysis employs intended architecture to generate runnable specifications that are executed on the code to reveal divergence or absence relations. Architecture level conformance analysis employs reconstructed architecture from implementation and compares intended architecture with reconstructed architecture. Manually checking for divergence and absence relations in large-scale software systems is time-consuming and cumbersome; hence, most conformance analysis methods in the industry are either semi-automated or fully automated. Software testing can be used to detect the divergence and absence relations. Automation in software testing can be achieved by model-based testing techniques. Modelbased testing is a software testing technique in which certain aspects of software system behaviours are defined in a model that is a basis for abstract tests. Concrete tests are derived from these abstract tests and executed against the software system under test.The main objective in this thesis is to define model-driven conformance analysis methodologies to detect the absence and divergence relations of software systems. To this end we answered the following research questions:RQ1:What are current solutions for model-driven architecture-based testing?RQ2:What are the limitations and benefits of code level model-based architecture conformance analysis using architecture viewpoints?RQ3:What are the characteristic features of architecture reconstruction methods?RQ4:What are the limitations and benefits of architecture level model-based architecture conformance analysis using architecture viewpoints?To answer these research questions, we used five different research methodologies which are: Systematic Literature Review, Case Study Research, Survey Study, Domain Analysis, Design Science Research.In chapter 2, we applied a systematic literature review for model-driven architecture based testing. We defined three research questions which are related to identifying addressed concerns, proposed solutions and existing research directions. We thoroughly analyzed 31 primary studies out of 739 studies. Firstly, we identified two concerns for applying MDABT which are: code to architecture conformance checking and internal architecture consistency checking. Furthermore, we derived a generic process model for model-driven architecture- based testing. Lastly, we identified current obstacles and existing research directions based on selected primary studies. We identified seven obstacles for MDABT which are: the need for executable models for representing architecture, coping with the abstraction difference between architecture and code, the combinatorial state explosion problem, the lack of architecture views to consider multiple different concerns, the need for automating the process by tools, the costbenefit analysis, and the need for applying ",,,,,,,Wageningen University and Research,,,AAI28820543,"Theses, dissertations, monographs, or books.",Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
