title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,LLM_Decision,LLM_Exclusion_Criterion,LLM_Justification
Quality-Informed Process Mining: A Case for Standardised Data Quality Annotations,"Goel, Kanika and Leemans, Sander J. J. and Martin, Niels and Wynn, Moe T.",ACM Trans. Knowl. Discov. Data,2022,ACM Digital Library,,16,"Real-life event logs, reflecting the actual executions of complex business processes, are faced with numerous data quality issues. Extensive data sanity checks and pre-processing are usually needed before historical data can be used as input to obtain reliable data-driven insights. However, most of the existing algorithms in process mining, a field focusing on data-driven process analysis, do not take any data quality issues or the potential effects of data pre-processing into account explicitly. This can result in erroneous process mining results, leading to inaccurate, or misleading conclusions about the process under investigation. To address this gap, we propose data quality annotations for event logs, which can be used by process mining algorithms to generate quality-informed insights. Using a design science approach, requirements are formulated, which are leveraged to propose data quality annotations. Moreover, we present the “Quality-Informed visual Miner” plug-in to demonstrate the potential utility and impact of data quality annotations. Our experimental results, utilising both synthetic and real-life event logs, show how the use of data quality annotations by process mining techniques can assist in increasing the reliability of performance analysis results.",,10.1145/3511707,https://doi.org/10.1145/3511707,,,"Process mining, data quality, annotations, metadata, quality-informed performance analysis, quality-informed conformance checking",Association for Computing Machinery,1556-4681,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Enhanced Transformation of&nbsp;BPMN Models with&nbsp;Cancellation Features,"Lomidze, Giorgi and Schuster, Daniel and Li, Chiao-Yun and van Zelst, Sebastiaan J.",,2022,ACM Digital Library,128–144,,"Canceling ongoing process instances is a natural phenomenon in practice. As such, modeling cancellation behavior is supported in the Business Process Model and Notation (BPMN) via exception events. Event-data-driven analysis techniques using such process models, e.g., conformance checking, require converting the BPMN model into a formal process modeling representation, i.e., Petri nets. However, the existing transformation of BPMN models with exception events renders a classical Petri net, with various additional modeling constructs to mimic the exception behavior. Using such a model in a subsequent analysis renders an infeasible computational complexity. Hence, this paper presents a novel conversion of BPMN models with exception events into reset nets, significantly reducing the number of required invisible transitions in the corresponding transformation. Our results show that the enhanced conversion reduces the computational effort of using the converted models for conformance checking.",,10.1007/978-3-031-17604-3_8,https://doi.org/10.1007/978-3-031-17604-3_8,,,"Business process management, Business process modeling, BPMN, Petri nets",Springer-Verlag,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Artifact-Driven Process Monitoring: A Viable Solution to Continuously and Autonomously Monitor Business Processes,"Meroni, Giovanni",,2021,ACM Digital Library,37–43,,"Business process monitoring aims at identifying how well running processes are performing with respect to performance measures and objectives. By observing the execution of a process, process monitoring is also responsible for creating process traces, which can be subsequently used by process mining algorithms to gain further insights on the process.Among the various monitoring solutions, artifact-driven monitoring has been proposed as a viable solution to continuously and autonomously monitor business processes. By monitoring the changes in the physical and virtual objects (i.e., artifacts) participating in the process, artifact-driven monitoring can autonomously generate traces that include events related to semi-automatic and manual tasks. Also, by relying on a declarative representation of the process to monitor, artifact-driven monitoring can detecting violations in the execution flow as soon as they occur. In addition, artifact-driven monitoring can identify the process elements affected by a violation, and it can continue monitoring the process without human intervention.This tutorial paper will firstly provide an introduction to process monitoring, and the recent advancements in this field. Then, an overview on how artifact-driven monitoring works will be provided.",,10.1007/978-3-030-85469-0_5,https://doi.org/10.1007/978-3-030-85469-0_5,,,"Business process monitoring, Artifact-driven, Conformance checking",Springer-Verlag,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Reinforcement Learning-Based Streaming Process Discovery Under Concept Drift,"Cai, Rujian and Zheng, Chao and Wang, Jian and Li, Duantengchuan and Wang, Chong and Li, Bing",,2024,ACM Digital Library,55–70,,"Streaming process discovery aims to discover a process model that may change over time, coping with the challenges of concept drift in business processes. Existing studies update process models with fixed strategies, neglecting the highly dynamic nature of trace streams. Consequently, they fail to accurately reveal the process evolution caused by concept drift. This paper proposes RLSPD (Reinforcement Learning-based Streaming Process Discovery), a dynamic process discovery approach for constructing an online process model on a trace stream. RLSPD leverages conformance-checking information to characterize trace distribution and employs a reinforcement learning policy to capture fluctuations in the trace stream. Based on the dynamic parameters provided by reinforcement learning, we extract representative trace variants within a memory window using frequency-based sampling and perform concept drift detection. Upon detecting concept drift, the process model is updated by process discovery. Experimental results on real-life event logs demonstrate that our approach effectively adapts to the high dynamics of trace streams, improving the conformance of constructed process models to upcoming traces and reducing erroneous model updates. Additionally, the results highlight the significance of the pre-trained policy in dealing with unknown environments.",,10.1007/978-3-031-61057-8_4,https://doi.org/10.1007/978-3-031-61057-8_4,,,"Process discovery, Concept drift, Trace stream, Reinforcement learning",Springer-Verlag,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Architectural Technical Debt - A Systematic Mapping Study,"Sousa, Armando and Rocha, Lincoln and Britto, Ricardo",,2023,ACM Digital Library,196–205,,"Architectural Technical Debt (ATD) is one of the leading Technical Debt (TD) that causes more impact in maintaining and evolving complex software systems. We conduct a Systematic Mapping Study (SMS) to discover the main aspects of identifying and monitoring ATD items to help determine what the community has been studying about it in the last ten years. We evaluated 70 studies dating from 2012 to 2022. We find out the main types of ATD, how to measure and monitor ATD, which techniques and methods stand out in this area, the most used tools, and directions on how to calculate the cost of paying for ATD items. The results of this mapping study can help identify points that still require investigations on identifying, monitoring, and calculating the effort to fix ATD items. Furthermore, we have proposed a roadmap to aid managing Architectural Technical Debt, which provides guidance for identifying and monitoring ATD items in software systems.",,10.1145/3613372.3613399,https://doi.org/10.1145/3613372.3613399,,,"Architectural Technical Debt, Large-scale Software Systems, Software Maintenance and Evolution",Association for Computing Machinery,,,,REJECTED,EC3,The study is a secondary study (review or survey).
Machine learning approaches for the discovery of clinical pathways from patient data: A systematic review,"Muyama, Lillian and Neuraz, Antoine and Coulet, Adrien",J. of Biomedical Informatics,2024,ACM Digital Library,,160,"Background:
Clinical pathways are sequences of events followed during the clinical care of a group of patients who meet pre-defined criteria. They have many applications ranging from healthcare evaluation and optimization to clinical decision support. These pathways can be discovered from existing healthcare data, in particular with machine learning which is a family of methods used to learn patterns from data. This review provides a comprehensive overview of the literature concerning the use of machine learning methods for clinical pathway discovery from patient data.
Methods:
Guided by the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) method , we conducted a systematic review of the existing literature. We searched 6 databases, i.e., ACM Digital Library, ScienceDirect, Web of Science, PubMed, IEEE Xplore, and Scopus spanning from January 2004 to December 2023 using search terms pertinent to clinical pathways and their development. Subsequently, the retrieved papers were analyzed to assess their relevance to the scope of this study.
Results:
In total, 131 papers that met the specified inclusion criteria were identified. These papers expressed diverse motivations behind data-driven clinical pathway discovery ranging from knowledge discovery to conformance checking with established clinical guidelines (derived from existing literature and clinical experts). Notably, the predominant methods employed (67.2%, 
=88) involved unsupervised machine learning techniques, such as clustering and process mining.
Conclusions:
Relevant clinical pathways can be discovered from patient data using machine learning methods, with the desirable potential to aid clinical decision-making in healthcare. However, to reach this objective, the methods used to discover pathways should be reproducible, and rigorous performance evaluation by clinical experts needs to be conducted for validation.",,10.1016/j.jbi.2024.104746,https://doi.org/10.1016/j.jbi.2024.104746,,,"Clinical pathway, Machine learning, Data-driven approach, Patient data",Elsevier Science,1532-0464,,,REJECTED,EC3,The study is a secondary study (review or survey).
Real-World Streaming Process Discovery from&nbsp;Low-Level Event Data,"Lefebure, Franck and Thuault, Cecile and Cholet, Stephane",,2023,ACM Digital Library,150–164,,"New perspectives on monitoring and optimising business processes have emerged from advances in process mining research, as well as techniques for their discovery, conformance checking and enhancement. Many identify process discovery as the most challenging task, as it is the first in line, and as the methods deployed could impact the effectiveness of subsequent analysis. More and more companies are ready to use process mining products, but not at any cost. They require them to be highly reliable, fast and to introduce a limited overload on their resources (including human). In a real-word setting, specific business constraints add to common issues, such as high data frequency and asynchrony. This also adds to the complexity of real-world processes and of process mining itself. Mainstream studies propose to use a finite set of high-level and business-oriented event logs, where key attributes (i.e., case, activity and timestamp) are known, and apply unscaled discovery techniques to produce control-flow process models. In this research, we propose an original approach we have designed and deployed to mine processes of businesses. It features fully streamed and real-time techniques to mine low-level technical event data, where key attributes do not exist and have to be forged. We will focus on the scope of process discovery, and expose our adoption of an organizational perspective, driven by (semi-) unsupervised discovery, streaming and scaling features.",,10.1007/978-3-031-44505-7_11,https://doi.org/10.1007/978-3-031-44505-7_11,,,"Streaming process mining, Unsupervised process discovery, Real time, Scaling process mining, Organizational perspective",Springer-Verlag,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Decision Mining versus Process Mining: a Comparison of Mining Methods,"de Jong, Robin and Leewis, Sam and Berkhout, Matthijs",,2022,ACM Digital Library,28–32,,"Since the advent of digitization and automation there has been a greater need for analysis of business processes and decisions. Data lies at the foundation for this. In this study the mining of decisions is further defined using Process mining as a reference. These two mining methods have some overlap but there are significant differences. These overlap and differences have come to light through the use of a conceptual model. By using the conceptual model with a fictional event log for Process mining and a fictional decision log for Decision mining, the differences and similarities could be explained. Results show that decision mining has an overlap with Process mining, but the differences together make the gap between Decision mining and Process mining too large to be considered as one field. Further research is needed to for the utilization of real life scenario's, compared to the fictional data used in this study, to ensure a clear overview of the difference and similarities between the two mining methods.",,10.1145/3507485.3507490,https://doi.org/10.1145/3507485.3507490,,,"Data mining, Decision mining, Process mining",Association for Computing Machinery,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Research on Enterprise Business Architecture Design Method Based on Domain-Driven Design,"Deng, Huiwen and Zhao, Yan",,2025,ACM Digital Library,1056–1061,,"In the transition to the ""digital"" era, many large enterprises have adopted enterprise architecture methodologies for top-level design, business architecture as the core content of enterprise architecture, its uniqueness lies in helping enterprises to complete the profound ""digital"" transformation, so that enterprises through information technology will be strategy, business and IT profoundly connected, become efficient ""digital"" enterprises. This paper focuses on the relationship between enterprise business architecture and IT architecture, and tries to introduce the Domain-Driven Design idea in software design into the business model modeling process, so as to optimize business combing, process management and data modeling, build strategy-capability business architecture, and guide the construction of enterprise digital information system. The research results have guiding significance for promoting the top-level design of enterprise business, the construction of reusable enterprise capabilities, and the development and implementation of information systems.",,10.1145/3708036.3708210,https://doi.org/10.1145/3708036.3708210,,,"Digital transformation, Domain-Driven Design, Enterprise business architecture, Meta-model",Association for Computing Machinery,,,,REJECTED,EC2,The study discusses software architecture in general without addressing conformance or compliance.
Validation of SDL specifications using EFSM-based test generation,"Wong, W. Eric and Restrepo, Andy and Choi, Byoungju",Inf. Softw. Technol.,2009,ACM Digital Library,1505–1519,51,"Existing methods for testing an SDL specification mainly allow for either black box simulation or conformance testing to verify that the behavior of an implementation matches its corresponding model. However, this relies on the potentially hazardous assumption that the model is completely correct. We propose a test generation method that can accomplish conformance verification as well as coverage criteria-driven white box testing of the specification itself. We first reformat a set of EFSMs equivalent to the processes in an SDL specification and identify ''hot spots'' - nodes or edges in the EFSM which should be prioritized during testing to effectively increase coverage. Then, we generate test sequences intended to cover selected hot spots; we address the possible infeasibility of such a test sequence by allowing for its rejection decided by a constraint solver and re-generation of an alternate test sequence to the hot spot. In this paper, we present our test generation method and tool, and provide case studies on five SDL processes demonstrating the effectiveness of our coverage-based test sequence selection.",,10.1016/j.infsof.2009.06.005,https://doi.org/10.1016/j.infsof.2009.06.005,,,"Constraint solver, Coverage testing, Dominator analysis, EFSM (Extended Finite State Machine), Hot spot, SDL",Butterworth-Heinemann,0950-5849,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
A Symmetric Petri Net Model of Generic Publish-Subscribe Systems for Verification and Business Process Conformance Checking,"Meyer, Tom",CEUR Workshop Proceedings,2023,Scopus,88 - 109,3430,"The highly decoupled nature of distributed systems can greatly simplify modular development. However, it is easy to lose track of component interactions and emerging system behavior. To inspect the behavior of the aggregated system, an abstract model and analysis tools can be of great help. In this paper, we present such a model that follows the Event-Driven Architecture paradigm. We argue that a Petri net model that captures the event flow, without modeling event data, is a useful abstraction to give insight into a system composed of distributed components. We present a symmetric Petri net model with publish-subscribe middleware and a generic abstraction of components. The model was designed with the intention to produce a finite P/T net to be compatible with current Petri net model checking tools. To build such a model, information about component behavior is necessary. We show that this information is encoded in the system implementation, and we describe potential means for automatic extraction. With the formal Petri net model, we enable the use of established verification methods. We discuss ideas from business process conformance checking and other verification properties that may deepen the system understanding. The proposed methods can be used either for static analysis during design time or to automatically signal issues at runtime. © 2023 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",Conference paper,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166003230&partnerID=40&md5=ad17cf37b861564cb633ca803ac7775f,,Conformance Checking; Distributed System; Event-Driven Architecture; Petri Net Model; Publish-Subscribe; Verification,Message passing; Middleware; Model checking; Petri nets; Static analysis; Business Process; Conformance checking; Distributed systems; Event-driven architectures; Modular development; Petri net models; Publish/subscribe; Publish/Subscribe system; Symmetrics; Verification process; Abstracting,,,,Cited by: 5,UNCLASSIFIED,,
Multi-perspective Conformance Checking for&nbsp;Email-Driven Processes,"Bou Nader, Ralph and Garfatta, Ikram and Elleuch, Marwa and Gaaloul, Walid and Taher, Yehia",,2024,ACM Digital Library,441–457,,"Business process conformance checking determines whether the execution of a process instance aligns with a predefined model that specifies its expected behaviour. Existing approaches are usually tailored for business processes modelled and executed through traditional business process management systems and therefore fall short when the business processes to be checked are described or partially supported by rather unorthodox systems. Such is the case for email-driven processes which are generally business process fragments executed using emailing systems. In fact, one of the main limitations exhibited by existing conformance checking techniques is that they mostly only consider the behavioral, functional, and structural perspectives of a process. In the case of email-driven processes, however, it is crucial to also take into account the contextual perspective of the events obtained from the email bodies and threads. In this paper, we propose an approach for multi-perspective conformance checking of email-driven processes, taking into account both their sequential as well as their contextual perspectives.",,10.1007/978-981-96-0576-7_32,https://doi.org/10.1007/978-981-96-0576-7_32,,,"Process mining, Conformance checking, Event logs, Email-driven process",Springer-Verlag,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
A Decomposition and Metric-Based Evaluation Framework for Microservices,"Taibi, Davide and Systä, Kari",Communications in Computer and Information Science,2020,Scopus,133 - 149,1218 CCIS,"Migrating from monolithic systems into microservice is a very complex task. Companies are commonly decomposing the monolithic system manually, analyzing dependencies of the monolith and then assessing different decomposition options. The goal of our work is two-folded: 1) we provide a microservice measurement framework to objectively evaluate and compare the quality of microservices-based systems; 2) we propose a decomposition system based on business process mining. The microservice measurement framework can be applied independently from the decomposition process adopted, but is also useful to continuously evaluate the architectural evolution of a system. Results show that the decomposition framework helps companies to easily identify the different decomposition options. The measurement framework can help to decrease the subjectivity of the decision between different decomposition options and to evaluate architectural erosion in existing systems. © 2020, Springer Nature Switzerland AG.",Conference paper,10.1007/978-3-030-49432-2_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086276785&doi=10.1007%2F978-3-030-49432-2_7&partnerID=40&md5=7e30d56ffbf6a6e5162e9492e3cf2d47,,Cloud-native; Microservice decomposition; Microservice migration; Microservice slicing; Microservices,Cloud computing; Decomposition; Architectural evolution; Business process minings; Complex task; Decomposition process; Decomposition system; Evaluation framework; Existing systems; Monolithic systems; Quality control,,,,Cited by: 21; All Open Access; Green Accepted Open Access; Green Open Access,UNCLASSIFIED,,
IntelliGOV - A semantic approach for compliance validation of service-oriented architectures,"Filho, Haroldo Maria Teixeira and Azevedo, Leonardo Guerreiro and Siqueira, Sean Wolfgand Matsui",Journal of Universal Computer Science,2016,Scopus,1048 - 1071,22,"Organizations are adopting Service-Oriented Architecture (SOA) to increase operation’s efficiency and flexibility. To accomplish these goals, it is necessary to ensure that the architecture and its evolution are compliant with business goals, best practices, legal and regulatory requirements. However, the diversity of domains and stakeholders involved in SOA solutions demands complex and expensive work to validate the architecture compliance. Hence, it can result in high costs and low quality assessment if the organization does not use an effective approach in this scenario. In addition, it would be important to consider standards and open solutions in order to promote interoperability and reuse of available tools, making it easier to spread throughout the organizations. We propose intelliGov, an architecture that aims to solve these problems by using ontologies, semantic rules and queries in order to simplify the compliance validation process. The architecture employs open standards-OWL, SWRL and SQWRL-in its implementation. A case study, executed in a global energy company that is currently adopting SOA, demonstrates gains in quality and costs of the compliance assessment process using the proposed architecture. © J.UCS.",Article,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994593688&partnerID=40&md5=5f8f38522e7c65e70b800d18f66a8a00,,Governance; Ontology; Semantic queries; Semantic rules; Service-Oriented Architecture (SOA),,,,,Cited by: 0,UNCLASSIFIED,,
