bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,status,comments
,Multilevel SLA-based QoS Support in Grids,"Conejero, Javier and Tom's, Luis and Caminero, Blanca and Carrión, Carmen",,2012,IEEE Digital Library,239-246,,"The need of mechanisms to guarantee the Quality of Service (QoS) in Grid environments has empowered the interest on Service Level Agreements (SLAs), which represent the contract established by negotiation between users and service providers that must be accomplished. Consequently, the SLAs contain numerous terms related to the QoS expected. The aim of this paper is to address different QoS levels in Grid environments by using specific metrics on SLAs. These metrics represent the expected QoS by the user for the given service level terms. Hence, a characterization and classification of these terms, making a differentiation of QoS in levels, is needed in order to improve the number of fulfilled agreements. Our proposal is based on a WS-Agreement compliant architecture developed to provide support for SLAs in Grid environments, also providing a framework prepared for new terms and policy definitions. More precisely, the QoS expected by users is clearly defined in three levels. These levels are used to classify the compromise adquired by each SLA (depending on the expectations of the user that submitted it) and deal with the confidence that Grid resources provide. The evaluation on a real Grid testbed shows the efficiency of the proposal.",,10.1109/ISPA.2012.39,,,,Quality of service;Computer architecture;Proposals;Protocols;Measurement;Availability;Service Level Agreements;WS-Agreement;Scheduling in Advance;Reservation;Grids,,2158-9208,,,,Unclassified,
,SLA-Driven Clustering of QoS-Aware Application Servers,"Lodi, Giorgia and Panzieri, Fabio and Rossi, Davide and Turrini, Elisa",IEEE Transactions on Software Engineering,2007,IEEE Digital Library,186-197,33,"In this paper, we discuss the design, implementation, and experimental evaluation of a middleware architecture for enabling service level agreement (SLA)-driven clustering of QoS-aware application servers. Our middleware architecture supports application server technologies with dynamic resource management: application servers can dynamically change the amount of clustered resources assigned to hosted applications on-demand so as to meet application-level quality of service (QoS) requirements. These requirements can include timeliness, availability, and high throughput and are specified in SLAs. A prototype of our architecture has been implemented using the open-source J2EE application server JBoss. The evaluation of this prototype shows that our approach makes possible JBoss' resource usage optimization and allows JBoss to effectively meet the QoS requirements of the applications it hosts, i.e., to honor the SLAs of those applications",,10.1109/TSE.2007.28,,,,Quality of service;Load management;Middleware;Resource management;Availability;Monitoring;Runtime;Application software;Prototypes;Scalability;Service Level Agreement;Quality of Service;QoS-aware application server;QoS-aware cluster;dynamic cluster configuration;monitoring;load balancing.,,1939-3520,,,,Unclassified,
,Unifying Compliance Management in Adaptive Environments through Variability Descriptors (Short Paper),"Koetter, Falko and Kochanowski, Monika and Renner, Thomas and Fehling, Christoph and Leymann, Frank",,2013,IEEE Digital Library,214-219,,"When managing IT environments and designing business processes, compliance regulations add challenges. Especially considering adaptive environments in the context of a service-oriented architecture in combination with exploiting the advantages of cloud technologies, maintaining compliance is cumbersome. Measures have to be taken on many application levels - including business processes, IT architecture, and business management. Although a lot of work has been done on various approaches covering compliance on one or more of these levels, in large companies more than one approach is likely to be employed. However, a unified approach for supporting the compliance tasks - like introduction, maintenance, and especially adaptation - on different levels of business and IT is missing. This work introduces this unifying approach, which links compliance requirements to implementing technology using variable compliance descriptors in order to comprehensively support compliance tasks. The advantage of this approach is that the impact of compliance on these different levels is tracked, thus enabling change propagation from changes in compliance requirements to infrastructure and business process reconfiguration.",,10.1109/SOCA.2013.23,,,,Monitoring;Runtime;Companies;Documentation;Computer architecture;Topology;Compliance;BPM;Adaptability;Variability,,2163-2871,,,,Unclassified,
,"Service Mining: Using Process Mining to Discover, Check, and Improve Service Behavior","Aalst, Wil van der",IEEE Transactions on Services Computing,2013,IEEE Digital Library,525-535,6,"Web services are an emerging technology to implement and integrate business processes within and across enterprises. Service orientation can be used to decompose complex systems into loosely coupled software components that may run remotely. However, the distributed nature of services complicates the design and analysis of service-oriented systems that support end-to-end business processes. Fortunately, services leave trails in so-called event logs and recent breakthroughs in process mining research make it possible to discover, analyze, and improve business processes based on such logs. Recently, the task force on process mining released the process mining manifesto. This manifesto is supported by 53 organizations and 77 process mining experts contributed to it. The active participation from end-users, tool vendors, consultants, analysts, and researchers illustrate the growing significance of process mining as a bridge between data mining and business process modeling. In this paper, we focus on the opportunities and challenges for service mining, i.e., applying process mining techniques to services. We discuss the guiding principles and challenges listed in the process mining manifesto and also highlight challenges specific for service-orientated systems.",,10.1109/TSC.2012.25,,,,Data mining;Web services;Computational modeling;Context;Analytical models;Customer services;Process mining;business process management;service discovery;conformance checking,,1939-1374,,,,Unclassified,
,Automatic Protocol Conformance Checking of Recursive and Parallel BPEL Systems,"Both, Andreas and Zimmermann, Wolf",,2008,IEEE Digital Library,81-91,,Today model checking of Web Services formulated in BPEL is often reduced by transforming BPEL-processes to Petri nets. These can be model checked using traditional approaches. If recursion is present in the BPEL model this approach hides some possible violations of the wished behaviour. We present an approach which allows the Web Service developer to formulate more properties of the required usage of the Web Service and provide a tool that checks whether these requirements are satisfied in a Web Service based system. We use finite state machines to specify permitted sequences of receivable interactions and call them service protocols. In this paper we will show that it is possible to use BPEL representations and service protocols to check if a sequence of receivable interactions that violates a service protocol can occur. We achieve this result by translating BPEL to Process Algebra Nets (introduced by Mayr ) and applying the approach of Mayr for model checking Process Algebra Nets. Our approach computes counterexamples even for recursive and parallel programs including synchronization.,,10.1109/ECOWS.2008.11,,,,Protocols;Web services;Algebra;Automata;Petri nets;Assembly systems;Yarn;Personal digital assistants;Computer science;Concurrent computing;Web Services;Protocol;Conformance Checking;Verification;BPEL,,,,,,Unclassified,
,Runtime Monitoring of Web Service Conversations,"Simmonds, Jocelyn and Gan, Yuan and Chechik, Marsha and Nejati, Shiva and O'Farrell, Bill and Litani, Elena and Waterhouse, Julie",IEEE Transactions on Services Computing,2009,IEEE Digital Library,223-244,2,"For a system of distributed processes, correctness can be ensured by (statically) checking whether their composition satisfies properties of interest. However, Web services are distributed processes that dynamically discover properties of other Web services. Since the overall system may not be available statically and since each business process is supposed to be relatively simple, we propose to use runtime monitoring of conversations between partners as a means of checking behavioral correctness of the entire Web service system. Specifically, we identify a subset of UML 2.0 Sequence Diagrams as a property specification language and show that it is sufficiently expressive for capturing safety and liveness properties. By transforming these diagrams to automata, we enable conformance checking of finite execution traces against the specification. We show how our language can be used to specify the Specification Property System (SPS) [1]. We describe an implementation of our approach as part of an industrial system. Finally, we discuss our experience of specifying and monitoring a number of properties from three existing applications.",,10.1109/TSC.2009.16,,,,Monitoring;Web services;Automata;Runtime;Unified modeling language;Data mining;Probability density function;Nondeterministic finite automata;runtime monitoring;sequence diagrams;temporal logic patterns;Web service conversations.,,1939-1374,,,,Unclassified,
,Verifying conformance between Web service choreography and implementation using learning and model checking,"Pacharoen, Warawoot and Aoki, Toshiaki and Bhattarakosol, Pattarasinee and Surarerks, Athasit",,2011,IEEE Digital Library,375-381,2,"A conformance problem between Web service choreography and orchestration has attracted much interest in the research field of Web service composition. A number of formal languages have been proposed for describing both choreography and orchestration. Moreover, various notions of conformance between them have been formally defined. In most of the earlier works, however, it is assumed that the internal structures of implemented orchestration are explicit. It may not always be the case, such as the Web services implemented in. NET or Java. In this paper, we have investigated an alternative approach for verifying a conformance between choreography and the implementation whose only external behavior can be observed. We use an adapted version of Angluin's algorithm to infer a Mealy machine from the implemented Web service. By transforming the Mealy machine to the modeling formalism LTS, the model checker LTSA can be used for checking the conformance criterion in our framework.",,,,,,Analytical models;Business;Machine learning;Inference algorithms;Algorithm design and analysis;Service oriented architecture;Web service composition;Choreography;Conformance verification;Learning algorithm;Model checking,,,,,,Unclassified,
,Multimedia Content Provisioning Using Service Oriented Architectures,"Brunkhorst, Ingo and Tönnies, Sascha and Balke, Wolf-Tilo",,2008,IEEE Digital Library,262-269,,"Today, multimedia system are still widely realized as monolithic systems. But building such applications using Service-Oriented Architectures — especially for the Processing and Delivery of continous Multimedia data streams— has been a controversial topic since years. As a result, applications in the multimedia domain cannot yet benefit from Web service architectures. Thus, building and maintaining large-scale multimedia applications remains a difficult, costly, time-consuming and challenging problem. In this paper we present our approach for building large scale multimedia systems and compare it with the current state of the art, concentrating on the selection and validation of multimedia service composition.",,10.1109/ICWS.2008.37,,,,Service oriented architecture;Streaming media;Multimedia systems;Web services;Buildings;Large-scale systems;Protocols;TV;Prototypes;IPTV;Multimedia Workflows;Conformance Verification;Validation,,,,,,Unclassified,
,Conformance Checking and QoS Selection Based on CPN for Web Service Composition,"Chen, Liping and Ha, Weitao",,2017,IEEE Digital Library,273-276,,"The development of new services by composition of existing ones has gained considerable momentum as a means of integrating heterogeneous applications and realizing business collaborations. In this paper we use skyline computation to select services for composition efficiently, reducing the number of candidate services to be considered. Then a novel color Petri net model of Web service composition is presented that combines QoS-based optimal service selection and consistence verification. In the model we define aggregation functions, and use a Multiple Attribute Decision Making approach for the utility function to achieve optimal services selection of QoS properties. We also propose a consistence verification approach to identify potential logical inconsistence of the semantic Web service process before the deployment. Proofs are also presented. We evaluate our approach experimentally using both real and synthetically generated datasets.",,10.1109/CIS.2017.00066,,,,Web services;Quality of service;Color;Databases;Petri nets;Reliability;Service Composition;Web Service Selection;Skyline;QoS Optimization;Web Service Consistence Verification,,,,,,Unclassified,
,A Framework for Secure Service Composition,"Brucker, Achim D. and Malmignati, Francesco and Merabti, Madjid and Shi, Qi and Zhou, Bo",,2013,IEEE Digital Library,647-652,,"Modern applications are inherently heterogeneous: they are built by composing loosely coupled services that are, usually, offered and operated by different service providers. While this approach increases the flexibility of the composed applications, it makes the implementation of security and trustworthiness requirements difficult. As the number of security requirements is increasing dramatically, there is a need for new approaches that integrate security requirements right from the beginning while composing service-based applications. In this paper, we present a framework for secure service composition using a model-based approach for specifying, building, and executing composed services. As a unique feature, this framework integrates security requirements as a first class citizen and, thus, avoids the ``security as an afterthought'' paradigm.",,10.1109/SocialCom.2013.97,,,,Security;Availability;Business;Runtime;Service-oriented architecture;Biological system modeling;secure service composition;BPMN;service modelling;service availability,,,,,,Unclassified,
,Services-oriented dynamic reconfiguration framework for dependable distributed computing,"Tsai, W.T. and Weiwei Song and Paul, R. and Zhibin Cao and Hai Huang",,2004,IEEE Digital Library,554-559 vol.1,,"Recently service-oriented architecture (SOA) has received significant attention and one reason is that it is potentially survivable as services are located, bound, and executed at runtime over the Internet. However, this is not enough for dependable computing because the system must also be able to reconfigure once a system failure or overload is detected, and this reconfiguration must be done in real-time at runtime with minimum disruption to the current operation. This work presents reconfiguration requirements for building dependable SOA, and proposes a dynamic reconfiguration framework based on distributed monitoring, synchronization, and runtime verification with distributed agents.",,10.1109/CMPSAC.2004.1342894,,,,Distributed computing;Computer applications;Application software,,0730-3157,,,,Unclassified,
,Formalizing exception handling in WS-CDL and WS-BPEL for conformance verification,"Yeung, W. L.",,2009,IEEE Digital Library,1-8,,"We have previously developed a formal approach to verifying conformance for Web services choreography based on the formalism of Communicating Sequential Processes (CSP). In this paper, we extend the approach to cover exception handling, which is commonly used in specifying the choreography as well as orchestration of Web services. In particular, we show how timeout exceptions and message events are handled in the formal approach and illustrate it using a document ordering and delivery process as an example.",,10.1109/SOCA.2009.5410265,,,,Web services;Automata;Service oriented architecture;Information systems;Software libraries;Petri nets;Algebra;Document handling;Parallel programming;Unified modeling language;WS-CDL;WS-BPEL;exception handling;conformance,,2163-2871,,,,Unclassified,
,Reliable Monitoring for Runtime Validation of Choreographies,"von Riegen, Michael and Ritter, Norbert",,2009,IEEE Digital Library,310-315,,"Cross-organizational business processes gain more and more attention in the scientific community. For modeling these processes, choreographies are an adequate solution to describe the observable behavior for each business participant and the corresponding protocols between them. Nevertheless, current approaches mainly focus on modeling and conformance checking before runtime. In contrast, this contribution concentrates on the runtime validation of choreographies and will thus propose a monitoring infrastructure that supports this validation. We will sketch the requirements for a monitoring infrastructure as well as the solutions in order to meet these requirements. Without such a reliable monitoring framework, a runtime validation framework simply would not be able to correctly validate the interactions.",,10.1109/ICIW.2009.52,,,,Monitoring;Runtime;Web services;Service oriented architecture;Instruments;Transport protocols;Collaboration;Web and internet services;Information systems;Business communication;service-oriented architectures;cross-organizational business processes;choreographies;monitoring;validation;interactions,,,,,,Unclassified,
,Detecting and Resolving Coupling-Related Infrastructure as Code Based Architecture Smells in Microservice Deployments,"Ntentos, Evangelos and Zdun, Uwe and Falazi, Ghareeb and Breitenbücher, Uwe and Leymann, Frank",,2023,IEEE Digital Library,201-211,,"The Infrastructure as Code (IaC) concept enables IT infrastructure to be managed as software: resources can be managed, monitored, and provisioned automatically instead of manually by developers or operations teams. Many industries have already embraced this concept widely. However, research on IaC-based deployments, particularly research focusing on loose coupling, often does not offer methods for evaluating architectural conformance, spotting architecture smells, and support for correcting the found smells. Our work strives to provide an automatic method for continuously developing microservice-based systems and the associated infrastructure. We aim to offer an automated architectural refactoring method that checks if IaCbased deployments adhere to patterns and best practices and do not contain potential architectural smells. We provide architects with viable options for enhancing architectural conformance during microservice development. In short, by continuously detecting architectural smells and suggesting possible fixes, we aim to support architecture evolution within the framework of continuous delivery practices. We evaluate our approach using three case studies and variants based on open-source microservice architectures.",,10.1109/CLOUD60044.2023.00031,,,,Industries;Couplings;Cloud computing;Codes;Microservice architectures;Focusing;Computer architecture;Infrastructure as code;metrics;architecture smells;modeling;best practices,,2159-6190,,,,Unclassified,
,Assessing Architecture Conformance to Security-Related Practices in Infrastructure as Code Based Deployments,"Ntentos, Evangelos and Zdun, Uwe and Falazi, Ghareeb and Breitenbücher, Uwe and Leymann, Frank",,2022,IEEE Digital Library,123-133,,"Infrastructure as Code (IaC) enables developers and operations teams to automatically deploy and manage an IT infrastructure via software. Among other uses, IaC is widely used in the context of continuously released deployments such as those of microservice and other cloud-based systems. Although IaC-based deployments have been utilized by many companies, there are no approaches on checking their conformance to architectural aspects yet. In this paper, we focus on security-related practices including observability, access control, and traffic control in IaC-based deployments. While best practices for this topic have been documented in some gray literature sources such as practitioners’ blogs and public repositories, approaches enabling automated checking of conformance to such best practices do not yet exist. We propose a model-based approach based on generic, technology-independent metrics, tied to typical architectural design decisions on IaC-based deployments. With this approach, we can measure conformance to security-related practices. We demonstrate and assess the validity and appropriateness of these metrics in assessing a system’s conformance to practices through regression analysis.",,10.1109/SCC55611.2022.00029,,,,Measurement;Codes;Service computing;Microservice architectures;Computer architecture;Traffic control;Software;Infrastructure as code;metrics;software architecture;modeling;best practices,,2474-2473,,,,Unclassified,
,Understanding Architecture Erosion: The Practitioners’ Perceptive,"Li, Ruiyin and Liang, Peng and Soliman, Mohamed and Avgeriou, Paris",,2021,IEEE Digital Library,311-322,,"As software systems evolve, their architecture is meant to adapt accordingly by following the changes in requirements, the environment, and the implementation. However, in practice, the evolving system often deviates from the architecture, causing severe consequences to system maintenance and evolution. This phenomenon of architecture erosion has been studied extensively in research, but not yet been examined from the point of view of developers. In this exploratory study, we look into how developers perceive the notion of architecture erosion, its causes and consequences, as well as tools and practices to identify and control architecture erosion. To this end, we searched through several popular online developer communities for collecting data of discussions related to architecture erosion. Besides, we identified developers involved in these discussions and conducted a survey with 10 participants and held interviews with 4 participants. Our findings show that: (1) developers either focus on the structural manifestation of architecture erosion or on its effect on run-time qualities, maintenance and evolution; (2) alongside technical factors, architecture erosion is caused to a large extent by non-technical factors; (3) despite the lack of dedicated tools for detecting architecture erosion, developers usually identify erosion through a number of symptoms; and (4) there are effective measures that can help to alleviate the impact of architecture erosion.",,10.1109/ICPC52881.2021.00037,,,,Computer architecture;Tools;Maintenance engineering;Software systems;Interviews;Architecture Erosion;Online Developer Communities;Survey;Interview;Empirical Study,,2643-7171,,,,Unclassified,
,Semi-automatic Feedback for Improving Architecture Conformance to Microservice Patterns and Practices,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Geiger, Sebastian",,2021,IEEE Digital Library,36-46,,"Microservices are one of the most recommended architectural styles for distributed applications that support independent development and deployment, enable rapid release, and are highly scalable and polyglot. Many well-established patterns and best practices have been documented in the literature. As there are many such guidances, they have numerous interdependencies, and system designs must adhere to many other architecture constraints, too, implementations do not always conform to those guidances. In complex or large systems, it can be hard and tedious to spot violations. Our work aims to offer automated support for architecting during the continuous evolution of microservice-based systems. More specifically we aim to provide the foundations for an automated approach for architecture reconstruction, assessing conformance to patterns and practices specific for microservice architectures, and detect possible violations. Based on this, we provide actionable options to architects for improving architecture conformance as part of a continuous feedback loop. That is, our goal is to support architecting in the context of continuous delivery practices, where architecture violations are continuously analyzed and fix options are continuously suggested.",,10.1109/ICSA51549.2021.00012,,,,Feedback loop;Software architecture;Conferences;Computer architecture;System analysis and design;Best practices;Microservices;patterns;best practices;continuous architecture improvement;feedback loop,,,,,,Unclassified,
,Conformance Checking and QoS Optimizing of Web Service Composition,"Zhang, Guojun",,2013,IEEE Digital Library,784-787,,"Due to the inherent autonomy and heterogeneity of component Web services it is difficult to predict the behavior of the overall composite service. Besides, the performance of the composed application is determined by the performance of the involved component web services. Therefore, the behavior conformance and non-functional quality of service (QoS) properties are crucial for selecting the web services to take part in the composition. The behavior conformance of component services is the guarantee of the correctness of Web service composition, and QoS properties can identify the best candidate web services from a set of functionally-equivalent services. In this paper, two formal judgmental rules are presented, which check conformance of local behavior of every component service to global interaction. We also use skyline computation to select services for composition effectively and efficiently, reducing the number of candidate services to be considered. We also define aggregation functions, and use a Multiple Attribute Decision Making approach for the utility function to achieve Qos-based optimal service selection. We evaluate our approach experimentally using both real and synthetically generated datasets.",,10.1109/CIS.2013.171,,,,Quality of service;Business;Semantics;Educational institutions;Service-oriented architecture;Grammar,,,,,,Unclassified,
